seats,mm,pg,vs
7,0.022829165,0.013491445,"(0.3533626746969346, 0.534849651754621, 0.3631139598629974, 0.6437441228047882, 0.5535663294443991, 0.4626682434079276, 0.5733876305868133, 0.5969919277670094, 0.4415617250412863, 0.6571344504137053, 0.4637978051799867, 0.5489774687217674, 0.4631103382575017)"
7,0.022881121,0.01778729,"(0.3533626746969346, 0.534849651754621, 0.3631139598629974, 0.629444911904944, 0.5535663294443991, 0.4626682434079276, 0.5870114096077887, 0.5969919277670094, 0.4415617250412863, 0.6571344504137053, 0.4637978051799867, 0.5489774687217674, 0.4631103382575017)"
7,0.022594319,0.018974257,"(0.47343929658437606, 0.534849651754621, 0.3631139598629974, 0.629444911904944, 0.5535663294443991, 0.4626682434079276, 0.5870114096077887, 0.5969919277670094, 0.4415617250412863, 0.6571344504137053, 0.3474496090586374, 0.5489774687217674, 0.4631103382575017)"
7,0.022113059,0.014063903,"(0.47343929658437606, 0.534849651754621, 0.4174750914364989, 0.629444911904944, 0.5535663294443991, 0.4626682434079276, 0.5870114096077887, 0.5488871764652554, 0.4415617250412863, 0.6571344504137053, 0.3474496090586374, 0.5489774687217674, 0.4631103382575017)"
7,0.019157334,0.014292444,"(0.47343929658437606, 0.5320081968916656, 0.4174750914364989, 0.6337718847079639, 0.5535663294443991, 0.4626682434079276, 0.5870114096077887, 0.5488871764652554, 0.4415617250412863, 0.6571344504137053, 0.3474496090586374, 0.5489774687217674, 0.4631103382575017)"
7,-0.007942731,0.018874611,"(0.47343929658437606, 0.5320081968916656, 0.5049454600930611, 0.6337718847079639, 0.5535663294443991, 0.4626682434079276, 0.5870114096077887, 0.46190207316281, 0.4415617250412863, 0.6571344504137053, 0.3474496090586374, 0.5489774687217674, 0.4631103382575017)"
7,0.019021204,0.017858415,"(0.47343929658437606, 0.5320081968916656, 0.5325510549475347, 0.6337718847079639, 0.5535663294443991, 0.4626682434079276, 0.5870114096077887, 0.4355809066941543, 0.4415617250412863, 0.6571344504137053, 0.3474496090586374, 0.5489774687217674, 0.4631103382575017)"
7,0.019097917,0.017502144,"(0.47343929658437606, 0.5320081968916656, 0.5325510549475347, 0.6337718847079639, 0.5535663294443991, 0.4626682434079276, 0.5870114096077887, 0.4355809066941543, 0.34810885275347536, 0.6571344504137053, 0.4399052061872178, 0.5489774687217674, 0.4631103382575017)"
7,0.019028953,0.017364215,"(0.35248517840426774, 0.5320081968916656, 0.5325510549475347, 0.6337718847079639, 0.5535663294443991, 0.4626682434079276, 0.5870114096077887, 0.4355809066941543, 0.46995950676031206, 0.6571344504137053, 0.4399052061872178, 0.5489774687217674, 0.4631103382575017)"
7,0.019154128,0.016865165,"(0.35248517840426774, 0.5320081968916656, 0.5325510549475347, 0.6337718847079639, 0.5535663294443991, 0.4626682434079276, 0.4639186097372228, 0.4355809066941543, 0.46995950676031206, 0.6571344504137053, 0.4399052061872178, 0.5489774687217674, 0.5845758573297503)"
7,0.018302389,0.023098651,"(0.32849066698593593, 0.5320081968916656, 0.5325510549475347, 0.6337718847079639, 0.5535663294443991, 0.4626682434079276, 0.4639186097372228, 0.4355809066941543, 0.46995950676031206, 0.6571344504137053, 0.4749723228393005, 0.5489774687217674, 0.5845758573297503)"
